=================== prox2-saga ====================
SDCA: PASS_GRAD = 97, cost = 0.0025909706533380, optgap = Inf, time = 21.848566, w_opt = Inf
SDCA: PASS_GRAD = 98, cost = 0.0025913285655270, optgap = Inf, time = 22.074957, w_opt = Inf
SDCA: PASS_GRAD = 99, cost = 0.0025956514334327, optgap = Inf, time = 22.294647, w_opt = Inf
SDCA: PASS_GRAD = 100, cost = 0.0025946144906733, optgap = Inf, time = 22.519573, w_opt = Inf
=================== acc-sdca ====================
Point-saga: Epoch = 000, cost = 1.0000000000000000, optgap = Inf
Accelerated SDCA: PASS_GRAD = 1, cost = 0.0075400281967986, optgap = Inf, time = 0.235733, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 2, cost = 0.0053100776478854, optgap = Inf, time = 0.470627, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 3, cost = 0.0054714551324576, optgap = Inf, time = 0.701367, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 4, cost = 0.0051078564204390, optgap = Inf, time = 0.934448, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 5, cost = 0.0038270862780370, optgap = Inf, time = 1.165265, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 6, cost = 0.0039847498142218, optgap = Inf, time = 1.401324, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 7, cost = 0.0036397604174023, optgap = Inf, time = 1.633709, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 8, cost = 0.0032022557790686, optgap = Inf, time = 1.865123, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 9, cost = 0.0036737566102465, optgap = Inf, time = 2.097049, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 10, cost = 0.0034666798085478, optgap = Inf, time = 2.330567, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 11, cost = 0.0034996162070980, optgap = Inf, time = 2.563911, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 12, cost = 0.0027941449780446, optgap = Inf, time = 2.797415, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 13, cost = 0.0028805053099061, optgap = Inf, time = 3.029984, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 14, cost = 0.0030399793343431, optgap = Inf, time = 3.260958, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 15, cost = 0.0027265810669783, optgap = Inf, time = 3.495618, w_opt = Inf
Accelerated SDCA: PASS_GRAD = 16, cost = 0.0028203965830593, optgap = Inf, time = 3.728377, w_opt = Inf
